comparison_id,comparison,test,total_n,analyzed_n,category_1,category_1_n,category_1_proportion,category_2,category_2_n,category_2_proportion,proportion_difference_category_2_minus_category_1,statistic,degrees_of_freedom,statistic_label,p_value,effect_metric,effect_value,effect_ci95_low,effect_ci95_high,notes
q14_focal_interpretations,Original Q14: 2D plane motion versus 3D zero/microgravity motion,"Paired-samples t-test on binary indicators, conditional on the two focal responses",286,262,"2D plane motion after collision, like billiards",58,0.22137404580152673,3D motion after collision under zero or microgravity; downward gravity need not be considered,204,0.7786259541984732,0.5572519083969466,10.842115595594585,261,paired t statistic (category 2 - category 1),7.410395697986985e-23,paired mean difference in binary indicators (category 2 - category 1),0.5572519083969466,0.4560464025976233,0.6584574141962699,The 24 other Q14 responses are excluded from this conditional two-option comparison.
q13_vs_q14_consistent_choices,Original Q13 gravity-consistent choice versus original Q14 zero-gravity-consistent choice,Paired-samples t-test on paired binary indicators,286,286,Original Q13: 3D falling motion with downward gravity,246,0.8601398601398601,Original Q14: 3D zero/microgravity motion,204,0.7132867132867133,-0.14685314685314677,-4.5791340304110415,285,paired t statistic (category 2 - category 1),6.9836366886040535e-06,paired mean difference in binary indicators (category 2 - category 1),-0.14685314685314685,-0.20997738963732349,-0.08372890406897023,"Paired cells: Q13-only=66, Q14-only=24, both=180, neither=16."
