subject,condition,n_samples,non_gap_samples,non_gap_coverage,recognized_aoi_samples,sample_interval_s,fixation_events,condition_primary_pass,condition_pass_40,condition_pass_60,eye_included,conditions,min_coverage,total_events,eye_included_40,eye_included_60
202511201417,zero_gravity,14175,13916.0,0.9817283950617284,13144.0,0.0166666666669925,477.0,True,True,True,True,2,0.9807539996831934,893.0,True,True
202511201419,gravity,16546,14401.0,0.8703614166565937,12895.0,0.0166666666669925,495.0,True,True,True,True,2,0.8528481993429616,1009.0,True,True
202511201419,zero_gravity,16133,13759.0,0.8528481993429616,12842.0,0.0166666666669925,514.0,True,True,True,True,2,0.8528481993429616,1009.0,True,True
202511201440,gravity,8113,3287.0,0.405152224824356,1612.0,0.0333333333330756,136.0,False,True,False,False,2,0.1839209521670783,151.0,False,False
202511201440,zero_gravity,8906,1638.0,0.1839209521670783,131.0,0.0333333333330756,15.0,False,False,False,False,2,0.1839209521670783,151.0,False,False
202511201634,gravity,8480,0.0,0.0,0.0,0.0333333333330188,0.0,False,False,False,False,2,0.0,0.0,False,False
202511201634,zero_gravity,8456,0.0,0.0,0.0,0.0333333333330188,0.0,False,False,False,False,2,0.0,0.0,False,False
202511201635,gravity,17939,17297.0,0.9642120519538436,11425.0,0.0166666666669925,523.0,True,True,True,True,2,0.9642120519538436,935.0,True,True
202511201635,zero_gravity,14257,13844.0,0.9710317738654696,9543.0,0.0166666666669925,412.0,True,True,True,True,2,0.9642120519538436,935.0,True,True
202511201640,gravity,14149,11184.0,0.7904445543854689,8636.0,0.0166666666669925,443.0,True,True,True,True,2,0.7493622913781794,885.0,True,True
202511201640,zero_gravity,13721,10282.0,0.7493622913781794,8705.0,0.0166666666669925,442.0,True,True,True,True,2,0.7493622913781794,885.0,True,True
202511210958,gravity,18632,17043.0,0.9147166165736368,13877.0,0.0166666666669925,500.0,True,True,True,True,2,0.9147166165736368,1048.0,True,True
202511210958,zero_gravity,19637,18930.0,0.963996537149259,16590.0,0.0166666666669925,548.0,True,True,True,True,2,0.9147166165736368,1048.0,True,True
202511211007,gravity,14172,11903.0,0.8398955687270675,8857.0,0.0166666666669925,465.0,True,True,True,True,2,0.816096348690499,942.0,True,True
202511211007,zero_gravity,15693,12807.0,0.816096348690499,8801.0,0.0166666666669925,477.0,True,True,True,True,2,0.816096348690499,942.0,True,True
202511211421,gravity,15392,13616.0,0.8846153846153846,11885.0,0.0166666666669925,587.0,True,True,True,True,2,0.8846153846153846,1135.0,True,True
202511211421,zero_gravity,14625,13294.0,0.908991452991453,11274.0,0.0166666666669925,548.0,True,True,True,True,2,0.8846153846153846,1135.0,True,True
202511211426,gravity,15781,14443.0,0.9152144984475,10836.0,0.0166666666669925,555.0,True,True,True,True,2,0.9152144984475,1086.0,True,True
202511211426,zero_gravity,15415,14276.0,0.92611093091145,10782.0,0.0166666666669925,531.0,True,True,True,True,2,0.9152144984475,1086.0,True,True
202511211457,gravity,6759,5534.0,0.8187601716230212,3081.0,0.0333333333330188,254.0,True,True,True,True,2,0.8187601716230212,644.0,True,True
202511211457,zero_gravity,7482,6634.0,0.8866613205025394,5082.0,0.0333333333330188,390.0,True,True,True,True,2,0.8187601716230212,644.0,True,True
202511211610,gravity,14515,13810.0,0.9514295556321049,8127.0,0.0166666666669925,459.0,True,True,True,True,2,0.939860507961574,833.0,True,True
202511211610,zero_gravity,15198,14284.0,0.939860507961574,6745.0,0.0166666666669925,374.0,True,True,True,True,2,0.939860507961574,833.0,True,True
202511211621,gravity,15703,14340.0,0.9132012991148188,10953.0,0.0166666666669925,454.0,True,True,True,True,2,0.9132012991148188,945.0,True,True
202511211621,zero_gravity,16041,14823.0,0.9240695717224612,11288.0,0.0166666666669925,491.0,True,True,True,True,2,0.9132012991148188,945.0,True,True
202511241029,gravity,14432,13975.0,0.9683342572062084,11766.0,0.0166666666669925,485.0,True,True,True,True,2,0.9683342572062084,1011.0,True,True
202511241029,zero_gravity,14986,14699.0,0.980848792206059,13147.0,0.0166666666669925,526.0,True,True,True,True,2,0.9683342572062084,1011.0,True,True
202511241622,gravity,13454,12843.0,0.9545859967295972,10118.0,0.0166666666669925,488.0,True,True,True,True,2,0.9545859967295972,1001.0,True,True
202511241622,zero_gravity,14101,13522.0,0.9589390823345862,11009.0,0.0166666666669925,513.0,True,True,True,True,2,0.9545859967295972,1001.0,True,True
202511241649,gravity,14467,13864.0,0.9583189327434852,10941.0,0.0166666666669925,561.0,True,True,True,True,2,0.935504745470233,1095.0,True,True
202511241649,zero_gravity,13908,13011.0,0.935504745470233,10491.0,0.0166666666669925,534.0,True,True,True,True,2,0.935504745470233,1095.0,True,True
202511250951,gravity,13334,12210.0,0.9157042147892606,9784.0,0.0166666666669925,512.0,True,True,True,True,2,0.9054483625341908,1002.0,True,True
202511250951,zero_gravity,13527,12248.0,0.9054483625341908,10078.0,0.0166666666669925,490.0,True,True,True,True,2,0.9054483625341908,1002.0,True,True
202511250957,gravity,14253,13823.0,0.9698309127902898,11809.0,0.0166666666669925,388.0,True,True,True,True,2,0.9656094527363184,897.0,True,True
202511250957,zero_gravity,16080,15527.0,0.9656094527363184,13893.0,0.0166666666669925,509.0,True,True,True,True,2,0.9656094527363184,897.0,True,True
202511251431,gravity,16042,14511.0,0.904563022067074,12962.0,0.0166666666669925,631.0,True,True,True,True,2,0.8901390166062638,1347.0,True,True
202511251431,zero_gravity,18487,16456.0,0.8901390166062638,14459.0,0.0166666666669925,716.0,True,True,True,True,2,0.8901390166062638,1347.0,True,True
202511251439,gravity,12865,12139.0,0.94356781966576,10794.0,0.0166666666669925,425.0,True,True,True,True,2,0.9389419544452609,831.0,True,True
202511251439,zero_gravity,13610,12779.0,0.9389419544452609,11229.0,0.0166666666669925,406.0,True,True,True,True,2,0.9389419544452609,831.0,True,True
