subject,condition,dyad,count,total_transitions,rate,dyad_total,spam_included,m_minus_2sd_threshold,auc
202511171004,gravity,ball_MED->ball_MED,133,584,0.22773972602739725,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_MED->ball_LONG,117,584,0.20034246575342465,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_MED->position_MED,12,584,0.02054794520547945,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_MED->position_LONG,4,584,0.00684931506849315,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_LONG->ball_MED,114,584,0.1952054794520548,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_LONG->ball_LONG,123,584,0.2106164383561644,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_LONG->position_MED,15,584,0.025684931506849314,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball_LONG->position_LONG,4,584,0.00684931506849315,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_MED->ball_MED,13,584,0.02226027397260274,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_MED->ball_LONG,12,584,0.02054794520547945,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_MED->position_MED,13,584,0.02226027397260274,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_MED->position_LONG,8,584,0.0136986301369863,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_LONG->ball_MED,6,584,0.010273972602739725,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_LONG->ball_LONG,4,584,0.00684931506849315,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_LONG->position_MED,6,584,0.010273972602739725,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position_LONG->position_LONG,0,584,0.0,1152,True,431.1657434710614,0.5196078431372549
202511171004,zero_gravity,ball_MED->ball_MED,91,568,0.1602112676056338,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_MED->ball_LONG,105,568,0.18485915492957747,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_MED->position_MED,7,568,0.01232394366197183,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_MED->position_LONG,7,568,0.01232394366197183,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_LONG->ball_MED,100,568,0.176056338028169,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_LONG->ball_LONG,112,568,0.19718309859154928,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_LONG->position_MED,17,568,0.02992957746478873,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball_LONG->position_LONG,22,568,0.03873239436619718,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_MED->ball_MED,15,568,0.02640845070422535,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_MED->ball_LONG,17,568,0.02992957746478873,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_MED->position_MED,26,568,0.045774647887323945,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_MED->position_LONG,8,568,0.014084507042253521,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_LONG->ball_MED,5,568,0.008802816901408451,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_LONG->ball_LONG,16,568,0.028169014084507043,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_LONG->position_MED,16,568,0.028169014084507043,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position_LONG->position_LONG,4,568,0.007042253521126761,1152,True,431.1657434710614,0.45665634674922595
202511171621,gravity,ball_MED->ball_MED,131,588,0.2227891156462585,1248,True,431.1657434710614,0.74609375
