metric,n,gravity_mean,gravity_sd,zero_gravity_mean,zero_gravity_sd,difference_zero_minus_gravity,ci95_low,ci95_high,paired_t,paired_t_p,cohens_dz,wilcoxon_w,wilcoxon_p,rank_biserial_sign,p_bh
accuracy,354,0.6777731339424858,0.15675515601447162,0.6423850775502473,0.13118807286606002,-0.0353880563922384,-0.04927172961761207,-0.02150438316686473,-5.012934070160925,8.499514890478125e-07,-0.26643443979944376,20946.0,1.1097696200524547e-06,-0.19653179190751446,2.5498544671434374e-06
answer_rt_median,354,1145.314331920904,292.64007766303405,1158.3918251412429,299.31497422922337,13.077493220338978,-7.146118165243026,33.30110460592098,1.2717608681328283,0.20429531883744334,0.06759332752384412,28664.0,0.15298574709313972,0.10734463276836158,0.245154382604932
answer_rt_mean,354,1260.251727709761,274.03313126560926,1258.9340877321429,285.06781198684644,-1.317639977618139,-19.71151878721152,17.076238831975243,-0.14088446519270084,0.8880415742822553,-0.00748792484295659,31398.0,0.9919251594569287,-0.022598870056497175,0.8880415742822553
confidence_mean,354,5.724893033212606,1.1766475172646698,5.574831706942979,1.2803393608612135,-0.15006132626962687,-0.1988268991187192,-0.10129575342053454,-6.051946995901328,3.6555510744422083e-09,-0.32165735375353427,13524.0,7.369842326781539e-10,-0.2913907284768212,2.193330644665325e-08
confidence_rt_median,354,809.556729378531,299.22775070411444,782.0096350282486,339.6087048246745,-27.54709435028249,-46.51581121530825,-8.578377485256734,-2.8561269543527934,0.0045422342275146035,-0.15180143493382298,26292.0,0.007811039330143298,-0.11299435028248588,0.009084468455029207
auc,258,0.579260692468229,0.13331078320041495,0.5569122470982031,0.11101081683596799,-0.022348445370025928,-0.038338139355118164,-0.006358751384933688,-2.7523601543720515,0.006338334730905043,-0.17135445854337603,13216.0,0.011097866521868748,-0.11023622047244094,0.009507502096357565
