subject,condition,region,total_fixation_time,fixation_count,mean_fixation_time,fixation_time_ratio,fixation_time_ratio_logit,total_fixation_time_log1p,fixation_count_log1p,mean_fixation_time_log1p
202511171004,gravity,ball,152.05000000016705,524,0.29017175572550963,0.9165159734779615,2.3959241814895393,5.030764665392513,6.263398262591624,0.2547753534839719
202511171004,gravity,position,13.850000000021964,62,0.22338709677454782,0.08348402652203848,-2.395924181489539,2.6979998652501878,4.143134726391533,0.20162332074973927
202511171004,zero_gravity,ball,144.833333333474,462,0.31349206349236797,0.8347742555235166,1.6198486484518049,4.982464417130524,6.137727054086234,0.27268928786587143
202511171004,zero_gravity,position,28.666666666698347,107,0.26791277258596585,0.16522574447648342,-1.6198486484518049,3.390024081065098,4.68213122712422,0.23737206231281266
202511171621,gravity,ball,167.50000000014848,490,0.3418367346941806,0.8220858895705355,1.5305439699643237,5.126935749793297,6.19644412779452,0.2940393729474731
202511171621,gravity,position,36.250000000036266,100,0.36250000000036264,0.17791411042946453,-1.5305439699643233,3.6176519448265423,4.61512051684126,0.30932124755552826
202511171621,zero_gravity,ball,151.05000000014041,480,0.31468750000029255,0.698012939001853,0.8378534677624717,5.0242094141242974,6.175867270105761,0.27359899480292554
202511171621,zero_gravity,position,65.35000000005931,181,0.36104972375723376,0.30198706099814693,-0.8378534677624719,4.19494376077911,5.204006687076795,0.3082562577243871
202511181005,gravity,ball,144.91666666677523,323,0.44865841073305024,0.9351473435147198,2.6685862300609586,4.9830356824985955,5.780743515792329,0.37063789416211873
202511181005,gravity,position,10.05000000000993,25,0.4020000000003972,0.06485265648528014,-2.668586230060959,2.4024304279646604,3.258096538021482,0.33789978861268166
202511181005,zero_gravity,ball,146.3333333334595,353,0.41454202077467284,0.7950738024088018,1.355785040995846,4.992697593410445,5.869296913133774,0.346805818476011
202511181005,zero_gravity,position,37.716666666690855,71,0.531220657277336,0.20492619759119826,-1.3557850409958458,3.6562701705489333,4.276666119016055,0.4260652325329024
202511181030,gravity,ball,236.13333333355087,644,0.3666666666670044,0.8271835590844768,1.565796632144122,5.468622570847162,6.4692503167957724,0.31237468504239957
202511181030,gravity,position,49.33333333340056,142,0.34741784037606027,0.17281644091552317,-1.565796632144122,3.91866754814815,4.962844630259907,0.2981900500505474
202511181030,zero_gravity,ball,122.06666666679251,377,0.32378426171563,0.7586492645536147,1.1452883592349925,4.81272621396161,5.934894195619588,0.28049449991440567
202511181030,zero_gravity,position,38.83333333336026,91,0.4267399267402226,0.24135073544638525,-1.1452883592349927,3.6847040827041315,4.5217885770490405,0.3553920701260506
202511181442,gravity,ball,109.9000000001165,374,0.29385026737999065,0.8646734854445033,1.8546614775899242,4.708628894357372,5.926926025970411,0.2576224763849817
202511181442,gravity,position,17.200000000022442,75,0.22933333333363257,0.13532651455549677,-1.8546614775899235,2.901421594083983,4.330733340286331,0.2064720170264811
202511181442,zero_gravity,ball,111.33333333347144,393,0.28329092451265,0.702270815811616,0.858134811717127,4.721470641685482,5.976350909297934,0.24942781325125882
202511181442,zero_gravity,position,47.20000000005638,159,0.2968553459123043,0.29772918418838396,-0.8581348117171271,3.8753590210577245,5.075173815233827,0.25994236936290144
202511181445,gravity,ball,141.03333333346586,392,0.35977891156496394,0.7881892697466515,1.3140451569695595,4.95606177183869,5.973809611869261,0.30732212150707283
202511181445,gravity,position,37.90000000003454,114,0.33245614035118015,0.21181073025334846,-1.3140451569695597,3.6609942506252886,4.74493212836325,0.2870239612074591
202511181445,zero_gravity,ball,178.55000000016008,500,0.35710000000032016,0.9876463538305488,4.381373436311364,5.190453720672983,6.2166061010848646,0.30535007010542387
