metric,region,fold,ci_low,ci_high,n
Total time,ball,0.8448701584286238,0.812104161005109,0.8781980943436369,353
Total time,position,1.8214338809608963,1.6542028625764265,2.007428284946898,353
Fixation count,ball,0.884195643463949,0.8544216946447744,0.9126491713807667,353
Fixation count,position,1.5439378653347953,1.4273572676600725,1.6689256349989479,353
Mean duration,ball,0.9555240004562083,0.9417342860061393,0.9699425676763856,353
Mean duration,position,1.1797326316405403,1.1391221876048159,1.2201354713012385,353
