metric,full_difference,loo_min,loo_max,sign_stable
accuracy,-0.0353880563922384,-0.03688450171589105,-0.034022412593178696,True
answer_rt_median,13.077493220338978,11.439254957507078,14.626347308781863,True
confidence_mean,-0.15006132626962687,-0.15348592926022572,-0.139485484889843,True
auc,-0.022348445370025928,-0.023724531870002553,-0.020766143601037703,True
