condition,velocity,n,distance_mean,distance_sd,hidden_duration_mean,hidden_duration_sd,occlusion_start_mean,first_boundary_levels
gravity,2.5,2358,3.999999969889737,1.974618018381942e-07,527.6601782866836,7.99452212759511,1643.266072943172,Horizontal
gravity,3.0,2358,3.999999968871925,1.2299335314146655e-07,586.2322790500424,5.94187406473877,1620.0978117048346,Horizontal
gravity,3.5,2358,3.9999999739185745,1.9539239857371815e-07,660.8630250212044,8.894824259652276,1620.3821700593724,Horizontal
gravity,4.0,2358,4.000000060390161,2.802511455853768e-07,727.3863315097541,9.60916569910306,1623.6070284139103,Horizontal
gravity,4.5,2358,4.000000000339271,1.0773978414105773e-07,810.2699429601357,8.27172529598382,1621.9762968617472,Horizontal
gravity,5.0,2358,4.000000000932994,7.414610053966334e-08,873.7196667090755,24.648276044607197,1632.5829211195928,Horizontal
zero_gravity,2.5,2358,4.000000001865988,4.939940375082776e-08,1550.2125033927057,15.567571846045496,1625.19891942324,Horizontal
zero_gravity,3.0,2358,3.9999999932145887,1.337926786681597e-07,1195.5447726887194,12.748371514828417,1621.8837726887193,Horizontal
zero_gravity,3.5,2358,3.9999999393553862,1.6448299150919362e-07,953.1965408396946,16.904427030073204,1621.9193511450383,Horizontal
zero_gravity,4.0,2358,3.999999997748092,7.68717569072215e-08,755.0368113231552,8.891949298076383,1625.3696340118745,Horizontal
zero_gravity,4.5,2358,4.0000000142493635,1.252256706782106e-07,600.2851417302799,13.337081492160946,1639.7552082273112,Horizontal
zero_gravity,5.0,2358,3.999999997031382,2.4198586176449576e-07,478.4975853689568,8.963819496973208,1622.0709202714165,Horizontal
