coverage_threshold,n,position_share_change_pp,ci95_low_pp,ci95_high_pp,t,p
0.4,363,11.8330417197248,10.19653236709165,13.46955107235795,14.21937233321962,9.145086692084798e-37
0.5,353,12.051118844631334,10.392732660597934,13.709505028664735,14.291756503531008,7.365720590089324e-37
0.6,343,12.17376450813079,10.489863845691225,13.85766517057036,14.219887178276425,2.2414584087893477e-36
