subject,condition,dyad,count,total_transitions,rate,dyad_total,spam_included,m_minus_2sd_threshold,auc
202511171004,gravity,ball->ball,487,584,0.833904109589041,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,ball->position,35,584,0.059931506849315065,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position->ball,35,584,0.059931506849315065,1152,True,431.1657434710614,0.5196078431372549
202511171004,gravity,position->position,27,584,0.046232876712328765,1152,True,431.1657434710614,0.5196078431372549
202511171004,zero_gravity,ball->ball,408,568,0.7183098591549296,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,ball->position,53,568,0.09330985915492958,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position->ball,53,568,0.09330985915492958,1152,True,431.1657434710614,0.45665634674922595
202511171004,zero_gravity,position->position,54,568,0.09507042253521127,1152,True,431.1657434710614,0.45665634674922595
202511171621,gravity,ball->ball,444,588,0.7551020408163265,1248,True,431.1657434710614,0.74609375
202511171621,gravity,ball->position,44,588,0.07482993197278912,1248,True,431.1657434710614,0.74609375
202511171621,gravity,position->ball,44,588,0.07482993197278912,1248,True,431.1657434710614,0.74609375
202511171621,gravity,position->position,56,588,0.09523809523809523,1248,True,431.1657434710614,0.74609375
202511171621,zero_gravity,ball->ball,436,660,0.6606060606060606,1248,True,431.1657434710614,0.7548387096774194
202511171621,zero_gravity,ball->position,43,660,0.06515151515151515,1248,True,431.1657434710614,0.7548387096774194
202511171621,zero_gravity,position->ball,43,660,0.06515151515151515,1248,True,431.1657434710614,0.7548387096774194
202511171621,zero_gravity,position->position,138,660,0.20909090909090908,1248,True,431.1657434710614,0.7548387096774194
202511181005,gravity,ball->ball,301,346,0.869942196531792,769,True,431.1657434710614,0.7217741935483871
202511181005,gravity,ball->position,20,346,0.057803468208092484,769,True,431.1657434710614,0.7217741935483871
202511181005,gravity,position->ball,20,346,0.057803468208092484,769,True,431.1657434710614,0.7217741935483871
202511181005,gravity,position->position,5,346,0.014450867052023121,769,True,431.1657434710614,0.7217741935483871
202511181005,zero_gravity,ball->ball,310,423,0.7328605200945626,769,True,431.1657434710614,0.7424749163879598
202511181005,zero_gravity,ball->position,42,423,0.09929078014184398,769,True,431.1657434710614,0.7424749163879598
202511181005,zero_gravity,position->ball,42,423,0.09929078014184398,769,True,431.1657434710614,0.7424749163879598
202511181005,zero_gravity,position->position,29,423,0.06855791962174941,769,True,431.1657434710614,0.7424749163879598
202511181030,gravity,ball->ball,573,784,0.7308673469387755,1251,True,431.1657434710614,0.6496212121212122
202511181030,gravity,ball->position,70,784,0.08928571428571429,1251,True,431.1657434710614,0.6496212121212122
202511181030,gravity,position->ball,69,784,0.08801020408163265,1251,True,431.1657434710614,0.6496212121212122
202511181030,gravity,position->position,72,784,0.09183673469387756,1251,True,431.1657434710614,0.6496212121212122
202511181030,zero_gravity,ball->ball,333,467,0.7130620985010707,1251,True,431.1657434710614,0.6648550724637681
202511181030,zero_gravity,ball->position,43,467,0.09207708779443255,1251,True,431.1657434710614,0.6648550724637681
202511181030,zero_gravity,position->ball,43,467,0.09207708779443255,1251,True,431.1657434710614,0.6648550724637681
202511181030,zero_gravity,position->position,48,467,0.10278372591006424,1251,True,431.1657434710614,0.6648550724637681
202511181442,gravity,ball->ball,323,447,0.7225950782997763,998,True,431.1657434710614,0.5707070707070707
202511181442,gravity,ball->position,49,447,0.10961968680089486,998,True,431.1657434710614,0.5707070707070707
202511181442,gravity,position->ball,49,447,0.10961968680089486,998,True,431.1657434710614,0.5707070707070707
202511181442,gravity,position->position,26,447,0.058165548098434,998,True,431.1657434710614,0.5707070707070707
202511181442,zero_gravity,ball->ball,312,551,0.5662431941923775,998,True,431.1657434710614,0.5595238095238095
202511181442,zero_gravity,ball->position,80,551,0.14519056261343014,998,True,431.1657434710614,0.5595238095238095
202511181442,zero_gravity,position->ball,80,551,0.14519056261343014,998,True,431.1657434710614,0.5595238095238095
202511181442,zero_gravity,position->position,79,551,0.14337568058076225,998,True,431.1657434710614,0.5595238095238095
202511181445,gravity,ball->ball,328,504,0.6507936507936508,1013,True,431.1657434710614,0.7
202511181445,gravity,ball->position,62,504,0.12301587301587301,1013,True,431.1657434710614,0.7
202511181445,gravity,position->ball,62,504,0.12301587301587301,1013,True,431.1657434710614,0.7
202511181445,gravity,position->position,52,504,0.10317460317460317,1013,True,431.1657434710614,0.7
202511181445,zero_gravity,ball->ball,492,509,0.9666011787819253,1013,True,431.1657434710614,0.6964285714285714
202511181445,zero_gravity,ball->position,7,509,0.0137524557956778,1013,True,431.1657434710614,0.6964285714285714
202511181445,zero_gravity,position->ball,8,509,0.015717092337917484,1013,True,431.1657434710614,0.6964285714285714
202511181445,zero_gravity,position->position,2,509,0.003929273084479371,1013,True,431.1657434710614,0.6964285714285714
202511181455,gravity,ball->ball,199,221,0.9004524886877828,472,True,431.1657434710614,0.4734848484848485
202511181455,gravity,ball->position,10,221,0.04524886877828054,472,True,431.1657434710614,0.4734848484848485
202511181455,gravity,position->ball,10,221,0.04524886877828054,472,True,431.1657434710614,0.4734848484848485
202511181455,gravity,position->position,2,221,0.00904977375565611,472,True,431.1657434710614,0.4734848484848485
202511181455,zero_gravity,ball->ball,163,251,0.649402390438247,472,True,431.1657434710614,0.35625
202511181455,zero_gravity,ball->position,38,251,0.15139442231075698,472,True,431.1657434710614,0.35625
202511181455,zero_gravity,position->ball,38,251,0.15139442231075698,472,True,431.1657434710614,0.35625
202511181455,zero_gravity,position->position,12,251,0.04780876494023904,472,True,431.1657434710614,0.35625
202511181644,gravity,ball->ball,269,472,0.5699152542372882,980,True,431.1657434710614,0.6031468531468531
202511181644,gravity,ball->position,70,472,0.1483050847457627,980,True,431.1657434710614,0.6031468531468531
202511181644,gravity,position->ball,69,472,0.1461864406779661,980,True,431.1657434710614,0.6031468531468531
202511181644,gravity,position->position,64,472,0.13559322033898305,980,True,431.1657434710614,0.6031468531468531
202511181644,zero_gravity,ball->ball,432,508,0.8503937007874016,980,True,431.1657434710614,0.584375
202511181644,zero_gravity,ball->position,31,508,0.0610236220472441,980,True,431.1657434710614,0.584375
202511181644,zero_gravity,position->ball,32,508,0.06299212598425197,980,True,431.1657434710614,0.584375
202511181644,zero_gravity,position->position,13,508,0.025590551181102362,980,True,431.1657434710614,0.584375
202511190941,gravity,ball->ball,409,499,0.8196392785571143,1013,True,431.1657434710614,0.6625000000000001
202511190941,gravity,ball->position,41,499,0.08216432865731463,1013,True,431.1657434710614,0.6625000000000001
202511190941,gravity,position->ball,41,499,0.08216432865731463,1013,True,431.1657434710614,0.6625000000000001
202511190941,gravity,position->position,8,499,0.01603206412825651,1013,True,431.1657434710614,0.6625000000000001
202511190941,zero_gravity,ball->ball,323,514,0.6284046692607004,1013,True,431.1657434710614,0.5833333333333333
202511190941,zero_gravity,ball->position,50,514,0.09727626459143969,1013,True,431.1657434710614,0.5833333333333333
202511190941,zero_gravity,position->ball,50,514,0.09727626459143969,1013,True,431.1657434710614,0.5833333333333333
202511190941,zero_gravity,position->position,91,514,0.17704280155642024,1013,True,431.1657434710614,0.5833333333333333
202511191004,gravity,ball->ball,297,382,0.7774869109947644,823,True,431.1657434710614,0.8064516129032258
202511191004,gravity,ball->position,30,382,0.07853403141361257,823,True,431.1657434710614,0.8064516129032258
202511191004,gravity,position->ball,30,382,0.07853403141361257,823,True,431.1657434710614,0.8064516129032258
202511191004,gravity,position->position,25,382,0.06544502617801047,823,True,431.1657434710614,0.8064516129032258
202511191004,zero_gravity,ball->ball,299,441,0.6780045351473923,823,True,431.1657434710614,0.84765625
202511191004,zero_gravity,ball->position,47,441,0.10657596371882086,823,True,431.1657434710614,0.84765625
202511191004,zero_gravity,position->ball,47,441,0.10657596371882086,823,True,431.1657434710614,0.84765625
202511191004,zero_gravity,position->position,48,441,0.10884353741496598,823,True,431.1657434710614,0.84765625
202511191614,gravity,ball->ball,242,332,0.7289156626506024,566,True,431.1657434710614,0.5027472527472527
202511191614,gravity,ball->position,40,332,0.12048192771084337,566,True,431.1657434710614,0.5027472527472527
202511191614,gravity,position->ball,40,332,0.12048192771084337,566,True,431.1657434710614,0.5027472527472527
202511191614,gravity,position->position,10,332,0.030120481927710843,566,True,431.1657434710614,0.5027472527472527
202511191614,zero_gravity,ball->ball,125,234,0.5341880341880342,566,True,431.1657434710614,0.5652173913043479
202511191614,zero_gravity,ball->position,36,234,0.15384615384615385,566,True,431.1657434710614,0.5652173913043479
202511191614,zero_gravity,position->ball,35,234,0.14957264957264957,566,True,431.1657434710614,0.5652173913043479
202511191614,zero_gravity,position->position,38,234,0.1623931623931624,566,True,431.1657434710614,0.5652173913043479
202511191626,gravity,ball->ball,360,431,0.8352668213457076,974,True,431.1657434710614,0.7966666666666667
202511191626,gravity,ball->position,30,431,0.06960556844547564,974,True,431.1657434710614,0.7966666666666667
202511191626,gravity,position->ball,30,431,0.06960556844547564,974,True,431.1657434710614,0.7966666666666667
202511191626,gravity,position->position,11,431,0.025522041763341066,974,True,431.1657434710614,0.7966666666666667
202511191626,zero_gravity,ball->ball,410,543,0.7550644567219152,974,True,431.1657434710614,0.46683673469387754
202511191626,zero_gravity,ball->position,41,543,0.07550644567219153,974,True,431.1657434710614,0.46683673469387754
202511191626,zero_gravity,position->ball,41,543,0.07550644567219153,974,True,431.1657434710614,0.46683673469387754
202511191626,zero_gravity,position->position,51,543,0.09392265193370165,974,True,431.1657434710614,0.46683673469387754
202511201020,gravity,ball->ball,355,462,0.7683982683982684,905,True,431.1657434710614,0.546875
202511201020,gravity,ball->position,35,462,0.07575757575757576,905,True,431.1657434710614,0.546875
202511201020,gravity,position->ball,35,462,0.07575757575757576,905,True,431.1657434710614,0.546875
202511201020,gravity,position->position,37,462,0.08008658008658008,905,True,431.1657434710614,0.546875
202511201020,zero_gravity,ball->ball,282,443,0.636568848758465,905,True,431.1657434710614,
202511201020,zero_gravity,ball->position,58,443,0.1309255079006772,905,True,431.1657434710614,
202511201020,zero_gravity,position->ball,58,443,0.1309255079006772,905,True,431.1657434710614,
202511201020,zero_gravity,position->position,45,443,0.10158013544018059,905,True,431.1657434710614,
202511201417,gravity,ball->ball,273,414,0.6594202898550725,890,True,431.1657434710614,0.5568181818181818
202511201417,gravity,ball->position,54,414,0.13043478260869565,890,True,431.1657434710614,0.5568181818181818
202511201417,gravity,position->ball,54,414,0.13043478260869565,890,True,431.1657434710614,0.5568181818181818
202511201417,gravity,position->position,33,414,0.07971014492753623,890,True,431.1657434710614,0.5568181818181818
202511201417,zero_gravity,ball->ball,373,476,0.7836134453781513,890,True,431.1657434710614,0.4375
202511201417,zero_gravity,ball->position,38,476,0.07983193277310924,890,True,431.1657434710614,0.4375
202511201417,zero_gravity,position->ball,38,476,0.07983193277310924,890,True,431.1657434710614,0.4375
202511201417,zero_gravity,position->position,27,476,0.05672268907563025,890,True,431.1657434710614,0.4375
202511201419,gravity,ball->ball,441,493,0.8945233265720081,1006,True,431.1657434710614,0.5317460317460317
202511201419,gravity,ball->position,23,493,0.04665314401622718,1006,True,431.1657434710614,0.5317460317460317
202511201419,gravity,position->ball,23,493,0.04665314401622718,1006,True,431.1657434710614,0.5317460317460317
202511201419,gravity,position->position,6,493,0.012170385395537525,1006,True,431.1657434710614,0.5317460317460317
202511201419,zero_gravity,ball->ball,339,513,0.6608187134502924,1006,True,431.1657434710614,0.5906250000000001
202511201419,zero_gravity,ball->position,48,513,0.0935672514619883,1006,True,431.1657434710614,0.5906250000000001
202511201419,zero_gravity,position->ball,48,513,0.0935672514619883,1006,True,431.1657434710614,0.5906250000000001
202511201419,zero_gravity,position->position,78,513,0.15204678362573099,1006,True,431.1657434710614,0.5906250000000001
202511201635,gravity,ball->ball,379,521,0.727447216890595,932,True,431.1657434710614,0.6666666666666667
