representation,condition,dyad,q1,q3,n_high,n_low,high_mean_rate,low_mean_rate,high_minus_low,permutation_p,welch_t,welch_p,permutation_p_fdr,delta_pp,source,destination
duration,zero_gravity,ball_LONG->ball_LONG,0.4736842105263157,0.6246141975308642,61,60,0.1422867284733173,0.1341435770529223,0.0081431514203949,0.3447310537892421,0.954328324766536,0.3418600280030515,0.421858485445768,-0.8143151420394901,ball_LONG,ball_LONG
duration,zero_gravity,ball_LONG->ball_MED,0.4736842105263157,0.6246141975308642,61,60,0.1574812183576369,0.1492035980640924,0.0082776202935445,0.1937612477504499,1.2949017416802089,0.1978688134786013,0.3875224955008998,-0.8277620293544501,ball_LONG,ball_MED
duration,zero_gravity,ball_LONG->position_LONG,0.4736842105263157,0.6246141975308642,61,60,0.0433235077806434,0.040392266000962,0.0029312417796814,0.369126174765047,0.9044358681596052,0.3678314392658736,0.421858485445768,-0.29312417796814,ball_LONG,position_LONG
duration,zero_gravity,ball_LONG->position_MED,0.4736842105263157,0.6246141975308642,61,60,0.0296026164035636,0.0323036807712581,-0.0027010643676944,0.2887422515496901,-1.080951969266165,0.2821468355266346,0.421858485445768,0.27010643676944,ball_LONG,position_MED
duration,zero_gravity,ball_MED->ball_LONG,0.4736842105263157,0.6246141975308642,61,60,0.1718512304719825,0.1594309767735411,0.0124202536984413,0.0523895220955808,1.9607094537424825,0.0523090460719742,0.1676464707058588,-1.2420253698441301,ball_MED,ball_LONG
duration,zero_gravity,ball_MED->ball_MED,0.4736842105263157,0.6246141975308642,61,60,0.2000708781516447,0.1827335727152013,0.0173373054364434,0.0283943211357728,2.197512438060549,0.0299430703371551,0.1135772845430913,-1.73373054364434,ball_MED,ball_MED
duration,zero_gravity,ball_MED->position_LONG,0.4736842105263157,0.6246141975308642,61,60,0.0191844530670286,0.0257723677377331,-0.0065879146707045,0.002999400119976,-3.070930773514817,0.002670337259357,0.0213290675198293,0.65879146707045,ball_MED,position_LONG
duration,zero_gravity,ball_MED->position_MED,0.4736842105263157,0.6246141975308642,61,60,0.0194942954885265,0.0262993857639527,-0.0068050902754262,0.0023995200959808,-3.0394468941426616,0.0029826200279302,0.0213290675198293,0.68050902754262,ball_MED,position_MED
duration,zero_gravity,position_LONG->ball_LONG,0.4736842105263157,0.6246141975308642,61,60,0.0333950078573107,0.0358471119636512,-0.0024521041063405,0.354129174165167,-0.9333515910522924,0.3525629991849194,0.421858485445768,0.24521041063405,position_LONG,ball_LONG
duration,zero_gravity,position_LONG->ball_MED,0.4736842105263157,0.6246141975308642,61,60,0.0284032905748189,0.0309125321211937,-0.0025092415463748,0.354129174165167,-0.9430660992370652,0.3475679774798639,0.421858485445768,0.25092415463748,position_LONG,ball_MED
duration,zero_gravity,position_LONG->position_LONG,0.4736842105263157,0.6246141975308642,61,60,0.031394987659988,0.0358049737093348,-0.0044099860493468,0.4371125774845031,-0.7660925722054718,0.4452187066706302,0.46625341598347,0.44099860493468,position_LONG,position_LONG
duration,zero_gravity,position_LONG->position_MED,0.4736842105263157,0.6246141975308642,61,60,0.0254745333613915,0.0296822200824537,-0.0042076867210622,0.3053389322135573,-1.0469580283282096,0.297381097470523,0.421858485445768,0.42076867210622,position_LONG,position_MED
duration,zero_gravity,position_MED->ball_LONG,0.4736842105263157,0.6246141975308642,61,60,0.0252565263460138,0.0262603537240532,-0.0010038273780393,0.6816636672665467,-0.4234223348049834,0.6727857970530029,0.6816636672665467,0.10038273780393,position_MED,ball_LONG
duration,zero_gravity,position_MED->ball_MED,0.4736842105263157,0.6246141975308642,61,60,0.0245413218332819,0.0317342769221666,-0.0071929550888847,0.003999200159968,-3.0088326740793807,0.0032098602273666,0.0213290675198293,0.71929550888847,position_MED,ball_MED
duration,zero_gravity,position_MED->position_LONG,0.4736842105263157,0.6246141975308642,61,60,0.0248282316541946,0.03028680260808,-0.0054585709538854,0.1715656868626274,-1.3483839486545035,0.1802639773123164,0.3875224955008998,0.54585709538854,position_MED,position_LONG
duration,zero_gravity,position_MED->position_MED,0.4736842105263157,0.6246141975308642,61,60,0.0234111725186563,0.0291923039894029,-0.0057811314707466,0.1819636072785443,-1.3538170127393605,0.1787444605754261,0.3875224955008998,0.57811314707466,position_MED,position_MED
