subject,dyad_total,spam_included,m_minus_2sd_threshold
202511171004,1152,True,431.1657434710614
202511171621,1248,True,431.1657434710614
202511181005,769,True,431.1657434710614
202511181030,1251,True,431.1657434710614
202511181442,998,True,431.1657434710614
202511181445,1013,True,431.1657434710614
202511181455,472,True,431.1657434710614
202511181644,980,True,431.1657434710614
202511190941,1013,True,431.1657434710614
202511191004,823,True,431.1657434710614
202511191614,566,True,431.1657434710614
202511191626,974,True,431.1657434710614
202511201020,905,True,431.1657434710614
202511201417,890,True,431.1657434710614
202511201419,1006,True,431.1657434710614
202511201635,932,True,431.1657434710614
202511210958,1045,True,431.1657434710614
202511211007,939,True,431.1657434710614
202511211421,1132,True,431.1657434710614
202511211426,1083,True,431.1657434710614
202511211610,830,True,431.1657434710614
202511211621,942,True,431.1657434710614
202511241622,998,True,431.1657434710614
202511241649,1092,True,431.1657434710614
202511250951,999,True,431.1657434710614
202511250957,894,True,431.1657434710614
202511251431,1344,True,431.1657434710614
202511251659,1395,True,431.1657434710614
202511260959,919,True,431.1657434710614
202511261442,726,True,431.1657434710614
202511261447,922,True,431.1657434710614
202511261624,900,True,431.1657434710614
202511261626,536,True,431.1657434710614
202511261627,1091,True,431.1657434710614
202511271030,1313,True,431.1657434710614
202511271033,587,True,431.1657434710614
202511271431,702,True,431.1657434710614
202511271434,1277,True,431.1657434710614
202511271638,1129,True,431.1657434710614
202511281023,1153,True,431.1657434710614
202511281031,1127,True,431.1657434710614
202511281419,826,True,431.1657434710614
202511281437,925,True,431.1657434710614
202511281438,668,True,431.1657434710614
202511281630,1027,True,431.1657434710614
202512011436,1139,True,431.1657434710614
202512011444,748,True,431.1657434710614
202512021035,865,True,431.1657434710614
202512021459,1158,True,431.1657434710614
202512021644,592,True,431.1657434710614
202512031019,443,True,431.1657434710614
202512031140,696,True,431.1657434710614
202512031412,679,True,431.1657434710614
202512031441,1005,True,431.1657434710614
202512031606,651,True,431.1657434710614
202512041624,556,True,431.1657434710614
202512041627,993,True,431.1657434710614
202512051006,824,True,431.1657434710614
202512051012,435,True,431.1657434710614
202512051458,864,True,431.1657434710614
202512051625,667,True,431.1657434710614
202512081052,768,True,431.1657434710614
202512081420,1091,True,431.1657434710614
202512081422,580,True,431.1657434710614
202512081637,756,True,431.1657434710614
202512090949,1136,True,431.1657434710614
202512091017,910,True,431.1657434710614
202512091426,1075,True,431.1657434710614
202512091427,481,True,431.1657434710614
202512091621,1134,True,431.1657434710614
202512091629,625,True,431.1657434710614
202512100952,831,True,431.1657434710614
202512101006,1018,True,431.1657434710614
202512101010,688,True,431.1657434710614
202512101424,1068,True,431.1657434710614
202512101439,1045,True,431.1657434710614
202512101615,984,True,431.1657434710614
202512101635,633,True,431.1657434710614
202512111013,728,True,431.1657434710614
202512111440,998,True,431.1657434710614
202512111443,550,True,431.1657434710614
202512111615,1015,True,431.1657434710614
202512111620,883,True,431.1657434710614
202512121004,1246,True,431.1657434710614
202512121440,1111,True,431.1657434710614
202512151424,1019,True,431.1657434710614
202512151429,1011,True,431.1657434710614
202512151627,918,True,431.1657434710614
202512160951,1061,True,431.1657434710614
202512161427,990,True,431.1657434710614
202512161429,983,True,431.1657434710614
202512161620,579,True,431.1657434710614
202512171000,542,True,431.1657434710614
202512171004,1087,True,431.1657434710614
202512171013,878,True,431.1657434710614
202512171417,536,True,431.1657434710614
202512171421,808,True,431.1657434710614
202512180957,1130,True,431.1657434710614
202512181416,1223,True,431.1657434710614
202512181505,520,True,431.1657434710614
202512191005,914,True,431.1657434710614
202512191420,1064,True,431.1657434710614
202512191437,715,True,431.1657434710614
202512191555,1065,True,431.1657434710614
202512221005,1007,True,431.1657434710614
202512221010,1060,True,431.1657434710614
202512221617,940,True,431.1657434710614
202512221633,712,True,431.1657434710614
202512231014,1081,True,431.1657434710614
202512231610,621,True,431.1657434710614
202512231626,803,True,431.1657434710614
202512241001,641,True,431.1657434710614
202512241020,1177,True,431.1657434710614
202512241428,1027,True,431.1657434710614
202512241627,993,True,431.1657434710614
202512250951,1211,True,431.1657434710614
202512251624,1021,True,431.1657434710614
202512260959,703,True,431.1657434710614
202512261030,552,True,431.1657434710614
202512261422,737,True,431.1657434710614
202512261436,953,True,431.1657434710614
202512261625,866,True,431.1657434710614
202512291041,1386,True,431.1657434710614
202512291432,1042,True,431.1657434710614
202512291441,590,True,431.1657434710614
202512291612,683,True,431.1657434710614
202512300954,739,True,431.1657434710614
202512301413,693,True,431.1657434710614
202512301420,715,True,431.1657434710614
202512301559,1005,True,431.1657434710614
202512301619,654,True,431.1657434710614
202512301621,799,True,431.1657434710614
202512311540,884,True,431.1657434710614
202601061013,926,True,431.1657434710614
202601061500,908,True,431.1657434710614
202601061632,818,True,431.1657434710614
202601071419,605,True,431.1657434710614
202601071601,1068,True,431.1657434710614
202601071604,688,True,431.1657434710614
202601081439,1110,True,431.1657434710614
202601090957,844,True,431.1657434710614
202601090958,544,True,431.1657434710614
202601091422,627,True,431.1657434710614
202601091449,1040,True,431.1657434710614
202601131016,1180,True,431.1657434710614
202601131558,887,True,431.1657434710614
202601141624,1046,True,431.1657434710614
