subject,auc,signature_rate,signature_rate_percent
202511171004,0.4566563467492259,0.051056338028168904,5.10563380281689
202511171621,0.7548387096774194,0.0469696969696967,4.696969696969671
202511181005,0.7424749163879598,0.0543735224586287,5.43735224586287
202511181030,0.6648550724637681,0.0492505353319056,4.92505353319056
202511181442,0.5595238095238095,0.0852994555353901,8.52994555353901
202511181445,0.6964285714285714,0.0137524557956776,1.37524557956776
202511181455,0.35625,0.09561752988047789,9.56175298804779
202511181644,0.584375,0.04921259842519671,4.921259842519671
202511190941,0.5833333333333333,0.05642023346303479,5.642023346303479
202511191004,0.84765625,0.0476190476190475,4.761904761904749
202511191614,0.5652173913043479,0.1068376068376067,10.683760683760669
202511191626,0.4668367346938775,0.0386740331491711,3.86740331491711
202511201417,0.4375,0.031512605042016695,3.1512605042016695
202511201419,0.5906250000000001,0.0506822612085768,5.06822612085768
202511210958,0.6257142857142857,0.0658135283363801,6.58135283363801
202511211007,0.4424342105263157,0.0987394957983191,9.87394957983191
202511211421,0.4431818181818182,0.0840950639853746,8.40950639853746
202511211610,0.7879464285714286,0.0589812332439678,5.89812332439678
202511211621,0.7708333333333334,0.0755102040816325,7.55102040816325
202511241622,0.546875,0.072265625,7.2265625
202511250951,0.6428571428571428,0.030674846625766798,3.0674846625766796
202511250957,0.6618181818181819,0.0334645669291337,3.34645669291337
202511251431,0.6176470588235294,0.0545454545454543,5.45454545454543
202511251659,0.50625,0.127094972067039,12.709497206703901
202511260959,0.4180602006688964,0.045871559633027394,4.587155963302739
202511261624,0.55625,0.0391304347826085,3.9130434782608496
202511261626,0.515625,0.0888888888888888,8.888888888888879
202511261627,0.5785953177257525,0.110091743119266,11.0091743119266
202511271030,0.5683760683760684,0.1002673796791443,10.02673796791443
202511271033,0.6280276816608997,0.1038575667655785,10.38575667655785
202511271431,0.4777777777777777,0.1333333333333332,13.33333333333332
202511271434,0.4636363636363637,0.0904977375565609,9.04977375565609
202511271638,0.4791666666666667,0.0249110320284696,2.49110320284696
202511281031,0.5803571428571428,0.08646003262642729,8.64600326264273
202511281437,0.6346153846153846,0.046808510638297704,4.6808510638297705
202511281438,0.5083333333333333,0.14529914529914512,14.529914529914512
202511281630,0.5357142857142857,0.0652173913043476,6.52173913043476
202512011436,0.438034188034188,0.0910746812386156,9.10746812386156
202512011444,0.6714285714285714,0.0388349514563106,3.88349514563106
202512021035,0.7388888888888889,0.0858585858585858,8.58585858585858
202512021459,0.5401785714285714,0.032758620689655,3.2758620689655
202512021644,0.4938080495356036,0.1428571428571428,14.28571428571428
202512031019,0.4772727272727273,0.13333333333333308,13.333333333333307
202512031140,0.519047619047619,0.102209944751381,10.220994475138099
202512031412,0.7254464285714286,0.06788511749347251,6.788511749347251
202512031606,0.6009615384615384,0.1241610738255032,12.41610738255032
202512041624,0.5909090909090908,0.1178451178451178,11.78451178451178
202512041627,0.4375,0.1216814159292034,12.168141592920339
202512051006,0.4528985507246377,0.0939759036144577,9.39759036144577
202512051012,0.4053497942386831,0.0792079207920791,7.92079207920791
202512051458,0.5789473684210527,0.041362530413625295,4.136253041362529
202512051625,0.6649305555555556,0.078078078078078,7.8078078078078
202512081052,0.3333333333333333,0.13725490196078421,13.725490196078422
202512081420,0.4772727272727273,0.0421455938697317,4.2145593869731695
202512081637,0.5,0.057356608478802903,5.735660847880291
202512090949,0.5287356321839081,0.1043046357615893,10.43046357615893
202512091017,0.4354838709677419,0.0866510538641684,8.66510538641684
202512091426,0.4178571428571428,0.0687160940325497,6.87160940325497
202512091427,0.5227272727272727,0.0979381443298968,9.793814432989679
202512091621,0.6204013377926421,0.015734265734265597,1.5734265734265598
202512091629,0.648888888888889,0.0619946091644203,6.19946091644203
202512100952,0.4814814814814814,0.0522727272727272,5.22727272727272
202512101006,0.4523809523809524,0.052830188679245105,5.28301886792451
202512101010,0.4,0.042654028436018704,4.26540284360187
202512101424,0.4583333333333333,0.1001890359168241,10.01890359168241
202512101439,0.3979591836734694,0.0808270676691729,8.08270676691729
202512101615,0.5333333333333333,0.0565656565656564,5.656565656565641
202512101635,0.7134615384615385,0.0246575342465752,2.46575342465752
202512111013,0.5517241379310345,0.0796703296703295,7.967032967032949
202512111440,0.5227272727272727,0.0931263858093125,9.31263858093125
202512111443,0.664,0.09890109890109869,9.89010989010987
202512111615,0.3392857142857142,0.09397163120567359,9.39716312056736
202512111620,0.57,0.0510638297872339,5.10638297872339
202512121004,0.5183946488294314,0.0892857142857141,8.92857142857141
202512121440,0.5,0.08602150537634401,8.602150537634401
202512151424,0.5181818181818182,0.0590339892665473,5.90339892665473
202512151429,0.5270833333333333,0.10629921259842509,10.62992125984251
202512151627,0.7250000000000001,0.0719257540603248,7.192575406032479
202512160951,0.6319444444444444,0.08847736625514391,8.84773662551439
202512161427,0.8194444444444444,0.1127049180327868,11.27049180327868
202512161429,0.6109374999999999,0.12525252525252512,12.525252525252512
202512161620,0.5399305555555556,0.04296875,4.296875
202512171000,0.3765432098765432,0.068100358422939,6.8100358422939005
202512171004,0.5555555555555556,0.0802792321116927,8.02792321116927
202512171013,0.5870967741935484,0.06506024096385529,6.506024096385529
202512171417,0.6969696969696969,0.0366666666666666,3.66666666666666
202512171421,0.5433436532507739,0.10500000000000001,10.500000000000002
202512180957,0.5535714285714286,0.0499219968798752,4.99219968798752
202512181416,0.5541871921182266,0.044334975369458,4.4334975369458
202512181505,0.4722222222222222,0.1316872427983537,13.16872427983537
202512191005,0.5859375,0.0566037735849055,5.660377358490551
202512191420,0.6266666666666667,0.030710172744721598,3.07101727447216
202512191437,0.6388888888888888,0.0366972477064219,3.66972477064219
202512191555,0.6851851851851851,0.06946983546617899,6.946983546617899
202512221005,0.4285714285714286,0.0702087286527513,7.0208728652751295
202512221617,0.6224489795918368,0.0353634577603142,3.5363457760314203
202512221633,0.7339901477832512,0.0394366197183098,3.9436619718309798
202512231014,0.7535714285714286,0.0848056537102472,8.48056537102472
202512231610,0.5634920634920635,0.171102661596958,17.1102661596958
202512231626,0.6493506493506493,0.0673316708229425,6.73316708229425
202512241001,0.3900928792569659,0.09401709401709381,9.40170940170938
202512241020,0.5016722408026756,0.047095761381475504,4.7095761381475505
202512241428,0.6495535714285714,0.0840787119856885,8.40787119856885
202512241627,0.584375,0.08333333333333309,8.333333333333309
202512250951,0.5909090909090909,0.0219780219780218,2.19780219780218
202512251624,0.5277777777777778,0.09161793372319671,9.161793372319671
202512260959,0.573529411764706,0.0514285714285713,5.14285714285713
202512261030,0.7386831275720165,0.0320284697508895,3.20284697508895
202512261422,0.7905982905982907,0.07058823529411751,7.05882352941175
202512261436,0.5459183673469388,0.12788259958071269,12.788259958071269
202512261625,0.5640625,0.0784313725490194,7.84313725490194
