condition,n,pearson_r,pearson_p,spearman_rho,spearman_p
gravity,290,0.4300607870018084,1.74713629672286e-14,0.4242627105623572,4.23584147028904e-14
zero_gravity,272,0.38450658241359836,5.154400880176617e-11,0.36630042878844093,4.6265733921732307e-10
