metric,label,dz,ci_low,ci_high,raw_difference,p,n
accuracy,Accuracy,-0.2664344397994437,-0.37096373796604953,-0.16190514163283706,-0.0353880563922384,8.499514890478125e-07,354
answer_rt_median,Decision RT (median),0.0675933275238441,-0.03693597064276232,0.17212262569045053,13.077493220338978,0.2042953188374433,354
answer_rt_mean,Decision RT (mean),-0.0074879248429565,-0.11201722300956167,0.09704137332364868,-1.317639977618139,0.8880415742822553,354
confidence_mean,Confidence,-0.3216573537535342,-0.4261866519201409,-0.21712805558692783,-0.1500613262696268,3.6555510744422075e-09,354
confidence_rt_median,Confidence RT,-0.1518014349338229,-0.2563307331004293,-0.047272136767216526,-27.54709435028249,0.0045422342275146,354
auc,Type-2 ROC AUC,-0.171354458543376,-0.2939538299862127,-0.048755087100538504,-0.0223484453700259,0.006338334730905,258
