"term","estimate","std_error","statistic","p_value","model","odds_ratio","ci_low","ci_high"
"(Intercept)","1.05566480339843","0.122596248249593","8.61090627544498","7.24852342527766e-18","accuracy_glmm","2.87388508753871","2.26002563655718","3.65447867616187"
"conditionzero_gravity","-0.38440519489588","0.133893340148931","-2.87098069603987","0.0040920051298387","accuracy_glmm","0.680855492109347","0.523700071280241","0.885171162956361"
"velocity_f3","0.00836838241350572","0.0847339431890975","0.0987606866687453","0.921328283332348","accuracy_glmm","1.00840349520302","0.854097309412363","1.19058753368197"
"velocity_f3.5","-0.0853348969869628","0.106739370990579","-0.799469738251449","0.424018087024024","accuracy_glmm","0.918204728907502","0.744871123521553","1.13187355176577"
"velocity_f4","-0.0662060547146278","0.0820103841616459","-0.807288679249849","0.419500184734959","accuracy_glmm","0.935937989985535","0.796963492274983","1.09914686129176"
"velocity_f4.5","-0.0642512823932566","0.0861433458479479","-0.745864718403983","0.455749140009568","accuracy_glmm","0.937769325001231","0.79208050844633","1.11025495203541"
"velocity_f5","-0.128635420753044","0.0997605100130211","-1.28944229270935","0.197244366239691","accuracy_glmm","0.879294479634878","0.723130178067642","1.06918339929114"
"size_pair0.8_0.9","-0.145163973861545","0.0921735926307741","-1.57489764387332","0.11528007261074","accuracy_glmm","0.864880463693493","0.721932080807596","1.03613378095332"
"size_pair0.8_1.0","-0.406805083106004","0.0866675813206443","-4.69385526753015","2.68103750657481e-06","accuracy_glmm","0.665773948245198","0.561763945854044","0.789041292936883"
"size_pair0.9_0.8","-0.145674806516157","0.0933671666741392","-1.56023591274411","0.118704141824013","accuracy_glmm","0.864438767336369","0.719877332368422","1.03803015996563"
"size_pair0.9_0.9","0.0242592347941351","0.085799339642954","0.28274384039653","0.777373207091316","accuracy_glmm","1.02455588400082","0.865967871574812","1.21218672643331"
"size_pair0.9_1.0","-0.203301051381047","0.0856892721039274","-2.37253796641515","0.0176663474050997","accuracy_glmm","0.816032536720437","0.689870055350888","0.965267438152089"
"size_pair1.0_0.8","-0.336485831078667","0.0895663182822512","-3.75683446112294","0.0001720762413275","accuracy_glmm","0.714276004024965","0.599274324504063","0.851346685590252"
"size_pair1.0_0.9","-0.149688192491772","0.0921329369982062","-1.62469793505755","0.104226937580165","accuracy_glmm","0.86097639347955","0.718730549351732","1.03137448491324"
"size_pair1.0_1.0","0.17395788468945","0.0861852313573277","2.01841872383231","0.0435476709780332","accuracy_glmm","1.19000544731602","1.00504752729041","1.40900099367403"
"target_f1","-0.0162443306354803","0.0352942212774572","-0.460254683274617","0.645333424501453","accuracy_glmm","0.983886896974341","0.918125668133301","1.05435830805816"
"trial_c","0.0472814995430587","0.0220407745616109","2.14518321082102","0.031938201430248","accuracy_glmm","1.04841709647782","1.00408992239997","1.09470116536946"
"trial_c2","-0.0186285129983349","0.0372463758932046","-0.500142968318524","0.616974412674772","accuracy_glmm","0.981543925333213","0.912441404577441","1.05587983242026"
"conditionzero_gravity:velocity_f3","-0.218831425518417","0.112793228039983","-1.94011138187166","0.0523661550667929","accuracy_glmm","0.80345714911059","0.644096865142339","1.00224581952321"
"conditionzero_gravity:velocity_f3.5","0.261974491224127","0.124732790259784","2.10028566408646","0.0357037195943333","accuracy_glmm","1.29949339352087","1.01765221308403","1.65939115357177"
"conditionzero_gravity:velocity_f4","-0.0538098564444728","0.10904218792539","-0.493477409691111","0.621675297897662","accuracy_glmm","0.947612271739236","0.765265424824008","1.17340858272449"
"conditionzero_gravity:velocity_f4.5","-0.00104288128517252","0.118858028437533","-0.00877417620737852","0.992999310096532","accuracy_glmm","0.998957662326524","0.791358162168521","1.26101739872921"
"conditionzero_gravity:velocity_f5","-0.0451912546422643","0.120142916491375","-0.376145810023752","0.706808499302361","accuracy_glmm","0.955814660359991","0.755276500488103","1.20959895398397"
"conditionzero_gravity:size_pair0.8_0.9","0.00434797365314877","0.122581021536646","0.0354702024721578","0.971704806400094","accuracy_glmm","1.00435743980515","0.789851102953908","1.2771190204324"
"conditionzero_gravity:size_pair0.8_1.0","0.373042821694904","0.121639034440744","3.0668018980094","0.00216362197289677","accuracy_glmm","1.45214652187671","1.14411374354522","1.8431117822817"
"conditionzero_gravity:size_pair0.9_0.8","0.0896978244894624","0.132199313247435","0.678504466370236","0.497451892904836","accuracy_glmm","1.09384370098193","0.84416033717254","1.41737770597636"
"conditionzero_gravity:size_pair0.9_0.9","0.0827973093173521","0.120232636410001","0.688642549889765","0.491048237567985","accuracy_glmm","1.08632159896531","0.858251020114913","1.37499937514847"
"conditionzero_gravity:size_pair0.9_1.0","0.195972947608861","0.120356366512312","1.62827238215782","0.103467142835765","accuracy_glmm","1.21649399581778","0.960860991080377","1.54013708080374"
"conditionzero_gravity:size_pair1.0_0.8","0.620558900321747","0.122120502451118","5.0815292098077","3.74408424493518e-07","accuracy_glmm","1.85996728771741","1.46404435984048","2.36296003473269"
"conditionzero_gravity:size_pair1.0_0.9","0.170035818528748","0.129124323664464","1.31683801861062","0.187892926085086","accuracy_glmm","1.18534730795662","0.920307104084232","1.52671671689216"
"conditionzero_gravity:size_pair1.0_1.0","-0.0734592925429832","0.119119735591598","-0.616684482870565","0.537442858127341","accuracy_glmm","0.929173969331082","0.735699174354813","1.17352893054369"
"(Intercept)","7.06615460160107","0.0209094996067129","337.939918912861","0","answer_rt_lmm","NA","7.02517198237191","7.10713722083022"
"conditionzero_gravity","-0.0423366373248827","0.0207782763646999","-2.03754327749765","0.0415956296611189","answer_rt_lmm","NA","-0.0830620589996946","-0.00161121565007084"
"velocity_f3","-0.0349611566755833","0.0125662277623558","-2.78215207751646","0.00539997298186772","answer_rt_lmm","NA","-0.0595909630898007","-0.0103313502613659"
"velocity_f3.5","-0.0599192078044923","0.0158754151902622","-3.77433957388693","0.000160432108920857","answer_rt_lmm","NA","-0.0910350215774061","-0.0288033940315784"
"velocity_f4","-0.00277768208143458","0.0122109725047799","-0.227474272040762","0.820054972825014","answer_rt_lmm","NA","-0.0267111881908032","0.0211558240279341"
"velocity_f4.5","-0.0496038291340562","0.0129545074908606","-3.82907873333291","0.000128623855489104","answer_rt_lmm","NA","-0.074994663816143","-0.0242129944519694"
