TrialStartTime,TrialNumber,Stage,Gravity,Target,ExpectedAnswer,LeftPosX,LeftPosY,RightPosX,RightPosY,LeftVelX,LeftVelY,RightVelX,RightVelY,LeftScale,RightScale,UserAnswer,AnswerTime,ConfidenceRating,ConfidenceTime,TotalTrialTime,OcclusionStartTimeMs,OcclusionHiddenDurationMs,FirstBoundaryType,TrueLandingX,TrueLandingY,FalseLandingX,FalseLandingY
2026-05-25 14:39:10.706,15,3,1,0,1,-5,6,5,6,8,3,-8,3,0.9,1,0,733.1865,7,1649.722,5783.222,1633.289,583.4961,Horizontal,-2.222815,2.594525,-6.222815,2.594525
2026-05-25 14:39:19.522,16,3,1,0,1,-5,6,5,6,8,4,-8,4,1,0.8,0,716.355,7,599.4795,4799.917,1616.873,733.49,Horizontal,0.7488211,2.604041,-3.251179,2.604041
2026-05-25 14:39:25.389,17,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,1,0.9,0,2049.735,6,1332.891,6616.672,1617.191,532.9895,Horizontal,2.036533,2.537301,-1.963467,2.537301
2026-05-25 14:39:33.055,18,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,1,1,1,2382.986,5,1266.315,6999.908,1633.301,516.7236,Horizontal,1.224003,2.537301,-2.775997,2.537301
2026-05-25 14:39:41.122,19,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,0.9,1,2766.097,5,1016.187,7249.968,1599.944,817.2607,Horizontal,0.295514,2.548866,4.295514,2.548866
2026-05-25 14:39:49.423,20,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.9,-1,2999.722,5,1749.718,7949.905,1599.991,533.5083,Horizontal,1.224003,2.537301,5.224003,2.537301
2026-05-25 14:39:58.422,21,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,1,1582.947,5,1116.42,5899.889,1616.747,533.5999,Horizontal,-1.224003,2.537301,-5.224003,2.537301
2026-05-25 14:40:05.388,22,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,0,849.4138,5,1049.48,5100.105,1633.339,534.0576,Horizontal,-2.130471,2.537301,1.869529,2.537301
2026-05-25 14:40:11.539,23,3,1,0,0,-5,6,5,6,8,4,-8,4,1,1,0,882.1814,5,1082.917,5433.261,1633.547,716.7969,Horizontal,-1.544002,2.604041,2.455998,2.604041
2026-05-25 14:40:18.038,24,3,1,0,1,-5,6,5,6,8,4,-8,4,0.9,0.8,1,1333.43,7,1249.257,5950.413,1600.803,732.8186,Horizontal,-0.3018056,2.604041,3.698195,2.604041
