TrialStartTime,TrialNumber,Stage,Gravity,Target,ExpectedAnswer,LeftPosX,LeftPosY,RightPosX,RightPosY,LeftVelX,LeftVelY,RightVelX,RightVelY,LeftScale,RightScale,UserAnswer,AnswerTime,ConfidenceRating,ConfidenceTime,TotalTrialTime,OcclusionStartTimeMs,OcclusionHiddenDurationMs,FirstBoundaryType,TrueLandingX,TrueLandingY,FalseLandingX,FalseLandingY
2026-01-20 15:24:17.727,15,3,1,0,1,-5,6,5,6,8,3.0,-8,3.0,0.9,1.0,0,1482.302,-1,3016.521,9817.114,1616.43,583.8623,Horizontal,-2.222815,2.594525,-6.222815000000001,2.594525
2026-01-20 15:24:28.578,16,3,1,0,1,-5,6,5,6,8,4.0,-8,4.0,1.0,0.8,1,1866.656,7,1315.749,6633.468,1633.247,734.0698,Horizontal,0.7488211,2.604041,4.7488211,2.604041
2026-01-20 15:24:36.244,17,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,1.0,0.9,0,1966.305,6,1466.616,6616.96,1633.571,516.9678,Horizontal,2.036533,2.537301,-1.963467,2.537301
2026-01-20 15:24:43.895,18,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,1.0,1.0,1,1565.346,6,2133.782,6999.97,1633.306,533.4778,Horizontal,1.224003,2.537301,5.224003,2.537301
2026-01-20 15:24:51.928,19,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,0.9,-1,3015.787,1,1332.609,7983.484,1616.902,816.864,Horizontal,0.295514,2.548866,4.295514,2.548866
2026-01-20 15:25:00.945,20,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.9,0,1433.247,1,1015.86,5782.891,1634.013,516.7236,Horizontal,1.224003,2.537301,-2.7759970000000003,2.537301
2026-01-20 15:25:07.761,21,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,1,1549.072,6,1298.751,6133.939,1633.301,533.5388,Horizontal,-1.224003,2.537301,-5.224003,2.537301
2026-01-20 15:25:14.945,22,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,0,1133.082,7,1283.198,5766.667,1600.039,533.2642,Horizontal,-2.130471,2.537301,1.869529,2.537301
2026-01-20 15:25:21.762,23,3,1,0,0,-5,6,5,6,8,4.0,-8,4.0,1.0,1.0,1,2699.806,3,1233.016,7449.172,1616.812,717.2546,Horizontal,-1.544002,2.604041,-5.544002,2.604041
2026-01-20 15:25:30.244,24,3,1,0,1,-5,6,5,6,8,4.0,-8,4.0,0.9,0.8,0,1899.091,5,1699.944,7032.788,1617.146,733.2764,Horizontal,-0.3018056,2.604041,-4.3018056,2.604041
2026-01-20 15:25:38.328,25,3,1,0,1,-5,6,5,6,8,3.0,-8,3.0,0.8,1.0,0,1833.047,6,1866.195,7016.195,1616.649,583.8928,Horizontal,-3.179049,2.594525,-7.179049,2.594525
2026-01-20 15:25:46.394,26,3,1,1,1,-5,6,5,6,8,3.0,-8,3.0,0.9,0.9,1,1916.573,7,1299.896,6583.271,1616.626,599.9146,Horizontal,1.320003,2.594525,5.320003,2.594525
2026-01-20 15:25:54.029,27,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,0.9,1.0,0,1982.033,7,399.3887,5581.795,1633.683,533.8135,Horizontal,0.4114734,2.537301,-3.5885266,2.537301
2026-01-20 15:26:00.663,28,3,1,1,1,-5,6,5,6,8,4.0,-8,4.0,0.8,1.0,1,2166.574,6,516.7874,6215.443,1633.253,716.8884,Horizontal,-0.7488211,2.604041,-4.7488211,2.604041
2026-01-20 15:26:07.911,29,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,1.0,1,2449.77,4,398.918,6366.262,1616.545,817.7795,Horizontal,-0.8686939,2.548866,3.1313060999999998,2.548866
2026-01-20 15:26:15.326,30,3,1,0,1,-5,6,5,6,8,4.5,-8,4.5,1.0,0.9,1,1433.192,5,1100.069,6100.35,1633.467,816.864,Horizontal,-0.4381617,2.548866,3.5618383,2.548866
2026-01-20 15:26:22.460,31,3,1,1,1,-5,6,5,6,8,4.0,-8,4.0,0.8,0.8,1,2432.762,5,2384.457,8234.645,1616.928,733.3679,Horizontal,1.576002,2.421134,-2.423998,2.421134
2026-01-20 15:26:31.743,32,3,1,0,0,-5,6,5,6,8,3.0,-8,3.0,0.9,0.8,0,1582.784,6,1183.223,6000.16,1616.565,583.5266,Horizontal,-0.3128159,2.594525,-4.3128159,2.594525
2026-01-20 15:26:38.793,33,3,0,0,0,-5,6,5,6,8,4.5,-8,4.5,0.9,0.8,1,2049.785,4,1132.915,8533.477,1633.436,616.6687,Horizontal,-0.311243,11.40001,-4.311243,11.40001
2026-01-20 15:26:48.360,34,3,0,1,1,-5,6,5,6,8,4.0,-8,4.0,0.9,0.9,1,1449.716,6,933.1589,5950.222,1633.446,750.0916,Horizontal,1.576002,11.35999,5.576002,11.35999
2026-01-20 15:26:55.359,35,3,0,1,0,-5,6,5,6,8,4.0,-8,4.0,0.8,0.9,1,2933.321,4,432.2122,6750.024,1616.737,750.3357,Horizontal,0.3002327,11.35999,4.3002327000000005,11.35999
2026-01-20 15:27:03.144,36,3,0,0,0,-5,6,5,6,8,4.5,-8,4.5,0.9,1.0,0,2799.579,5,632.1616,6749.412,1616.828,600.4028,Horizontal,-2.284908,11.40001,-6.284908,11.40001
2026-01-20 15:27:10.927,37,3,0,0,1,-5,6,5,6,8,4.5,-8,4.5,1.0,0.9,1,1399.85,6,1299.994,6099.869,1633.607,583.3435,Horizontal,-0.4171923,11.31001,3.5828077,11.31001
2026-01-20 15:27:18.059,38,3,0,0,1,-5,6,5,6,8,5.0,-8,5.0,1.0,0.8,1,1483.222,6,334.1216,4951.278,1633.567,466.7358,Horizontal,0.3592344,11.30001,4.3592344,11.30001
2026-01-20 15:27:24.043,39,3,0,0,1,-5,6,5,6,8,4.0,-8,4.0,1.0,1.0,0,2515.469,3,1483.033,7483.377,1633.228,750.3357,Horizontal,-1.576002,11.35999,-5.576002,11.35999
2026-01-20 15:27:32.560,40,3,0,0,0,-5,6,5,6,8,4.0,-8,4.0,0.9,1.0,0,1432.878,5,1016.507,5999.944,1633.251,750.1221,Horizontal,-2.719564,11.35999,1.280436,11.35999
2026-01-20 15:27:39.610,41,3,0,0,1,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,0,1332.723,5,1416.051,6966.395,1616.343,1566.864,Horizontal,-5.54026,11.40002,-1.54026,11.40002
2026-01-20 15:27:47.609,42,3,0,1,0,-5,6,5,6,8,3.0,-8,3.0,1.0,0.9,0,2716.46,1,1750.235,8483.984,1616.71,1200.378,Horizontal,4.14772,11.40002,8.14772,11.40002
2026-01-20 15:27:57.142,43,3,0,1,1,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,1,2350.575,7,499.8093,7116.997,1633.528,1550.201,Horizontal,2.888003,11.40002,6.888002999999999,11.40002
2026-01-20 15:28:05.309,44,3,0,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.8,1,1249.749,7,314.9893,5916.739,1633.489,1566.895,Horizontal,5.54026,11.40002,1.54026,11.40002
2026-01-20 15:28:12.277,45,3,0,0,0,-5,6,5,6,8,3.0,-8,3.0,0.8,0.8,0,1416.315,7,632.3271,6016.546,1633.229,1216.949,Horizontal,-2.312002,11.40002,1.6879979999999999,11.40002
2026-01-20 15:28:19.326,46,3,0,0,0,-5,6,5,6,8,3.0,-8,3.0,1.0,1.0,1,2582.793,6,400.1597,6866.691,1616.886,1183.38,Horizontal,-2.280002,11.34002,-6.280002,11.34002
