TrialStartTime,TrialNumber,Stage,Gravity,Target,ExpectedAnswer,LeftPosX,LeftPosY,RightPosX,RightPosY,LeftVelX,LeftVelY,RightVelX,RightVelY,LeftScale,RightScale,UserAnswer,AnswerTime,ConfidenceRating,ConfidenceTime,TotalTrialTime,OcclusionStartTimeMs,OcclusionHiddenDurationMs,FirstBoundaryType,TrueLandingX,TrueLandingY,FalseLandingX,FalseLandingY
2026-01-13 15:51:17.790,15,3,1,0,1,-5,6,5,6,8,3.0,-8,3.0,0.9,1.0,1,749.995,7,1032.233,7116.077,1616.43,583.8623,Horizontal,-2.222815,2.594525,1.7771849999999998,2.594525
2026-01-13 15:51:25.956,16,3,1,0,1,-5,6,5,6,8,4.0,-8,4.0,1.0,0.8,1,883.2948,7,266.4867,4582.643,1633.247,734.0698,Horizontal,0.7488211,2.604041,-3.2511789,2.604041
2026-01-13 15:51:31.589,17,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,1.0,0.9,1,683.4435,7,382.7908,4333.432,1633.571,516.9678,Horizontal,2.036533,2.537301,6.036533,2.537301
2026-01-13 15:51:36.956,18,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,1.0,1.0,0,899.1123,7,333.2664,4466.532,1633.306,533.4778,Horizontal,1.224003,2.537301,5.224003,2.537301
2026-01-13 15:51:42.456,19,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,0.9,0,832.8862,7,982.9496,5465.965,1616.902,816.864,Horizontal,0.295514,2.548866,-3.704486,2.548866
2026-01-13 15:51:48.956,20,3,1,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.9,1,666.3019,7,316.0679,4166.693,1634.013,516.7236,Horizontal,1.224003,2.537301,-2.7759970000000003,2.537301
2026-01-13 15:51:54.155,21,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,0,549.2986,7,315.9935,4233.541,1633.301,533.5388,Horizontal,-1.224003,2.537301,2.7759970000000003,2.537301
2026-01-13 15:51:59.421,22,3,1,0,0,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,1,800.1042,7,533.1586,4650.206,1600.039,533.2642,Horizontal,-2.130471,2.537301,-6.130471,2.537301
2026-01-13 15:52:05.108,23,3,1,0,0,-5,6,5,6,8,4.0,-8,4.0,1.0,1.0,0,499.7273,7,316.6202,4231.214,1616.812,717.2546,Horizontal,-1.544002,2.604041,2.455998,2.604041
2026-01-13 15:52:10.373,24,3,1,0,1,-5,6,5,6,8,4.0,-8,4.0,0.9,0.8,0,599.0656,7,633.9358,4816.982,1617.146,733.2764,Horizontal,-0.3018056,2.604041,-4.3018056,2.604041
2026-01-13 15:52:16.221,25,3,1,0,1,-5,6,5,6,8,3.0,-8,3.0,0.8,1.0,1,833.2466,7,317.2058,4400.909,1616.649,583.8928,Horizontal,-3.179049,2.594525,0.820951,2.594525
2026-01-13 15:52:21.672,26,3,1,1,1,-5,6,5,6,8,3.0,-8,3.0,0.9,0.9,1,783.9514,7,499.9033,4599.95,1616.626,599.9146,Horizontal,1.320003,2.594525,5.320003,2.594525
2026-01-13 15:52:27.322,27,3,1,1,0,-5,6,5,6,8,2.5,-8,2.5,0.9,1.0,0,849.5867,7,349.863,4416.895,1633.683,533.8135,Horizontal,0.4114734,2.537301,4.4114734,2.537301
2026-01-13 15:52:32.789,28,3,1,1,1,-5,6,5,6,8,4.0,-8,4.0,0.8,1.0,0,1349.675,7,300.054,5216.554,1633.253,716.8884,Horizontal,-0.7488211,2.604041,3.2511789,2.604041
2026-01-13 15:52:39.056,29,3,1,1,0,-5,6,5,6,8,4.5,-8,4.5,0.8,1.0,0,700.3379,7,700.0916,4966.717,1616.545,817.7795,Horizontal,-0.8686939,2.548866,3.1313060999999998,2.548866
2026-01-13 15:52:45.072,30,3,1,0,1,-5,6,5,6,8,4.5,-8,4.5,1.0,0.9,1,766.8081,7,732.5059,4950.068,1633.467,816.864,Horizontal,-0.4381617,2.548866,-4.4381617,2.548866
2026-01-13 15:52:51.073,31,3,1,1,1,-5,6,5,6,8,4.0,-8,4.0,0.8,0.8,1,699.8604,7,449.731,4649.481,1616.928,733.3679,Horizontal,1.576002,2.421134,-2.423998,2.421134
2026-01-13 15:52:56.757,32,3,1,0,0,-5,6,5,6,8,3.0,-8,3.0,0.9,0.8,0,750.1289,7,366.4836,4548.702,1616.565,583.5266,Horizontal,-0.3128159,2.594525,3.6871841,2.594525
2026-01-13 15:53:02.339,33,3,0,0,0,-5,6,5,6,8,4.5,-8,4.5,0.9,0.8,0,714.9512,7,1300.215,7267.215,1633.436,616.6687,Horizontal,-0.311243,11.40001,3.688757,11.40001
2026-01-13 15:53:10.656,34,3,0,1,1,-5,6,5,6,8,4.0,-8,4.0,0.9,0.9,1,632.1616,7,401.3538,4485.197,1633.446,750.0916,Horizontal,1.576002,11.35999,-2.423998,11.35999
2026-01-13 15:53:16.189,35,3,0,1,0,-5,6,5,6,8,4.0,-8,4.0,0.8,0.9,1,1999.519,7,316.6914,5750.129,1616.737,750.3357,Horizontal,0.3002327,11.35999,-3.6997673,11.35999
2026-01-13 15:53:22.988,36,3,0,0,0,-5,6,5,6,8,4.5,-8,4.5,0.9,1.0,1,1916.919,7,399.6958,5700.196,1616.828,600.4028,Horizontal,-2.284908,11.40001,-6.284908,11.40001
2026-01-13 15:53:29.721,37,3,0,0,1,-5,6,5,6,8,4.5,-8,4.5,1.0,0.9,1,599.4414,7,499.928,4499.928,1633.607,583.3435,Horizontal,-0.4171923,11.31001,3.5828077,11.31001
2026-01-13 15:53:35.256,38,3,0,0,1,-5,6,5,6,8,5.0,-8,5.0,1.0,0.8,1,700.197,7,566.3013,4549.989,1633.567,466.7358,Horizontal,0.3592344,11.30001,4.3592344,11.30001
2026-01-13 15:53:40.855,39,3,0,0,1,-5,6,5,6,8,4.0,-8,4.0,1.0,1.0,1,783.3142,7,466.3677,4800.243,1633.228,750.3357,Horizontal,-1.576002,11.35999,-5.576002,11.35999
2026-01-13 15:53:46.706,40,3,0,0,0,-5,6,5,6,8,4.0,-8,4.0,0.9,1.0,0,1516.355,7,1116.928,6050.147,1633.251,750.1221,Horizontal,-2.719564,11.35999,-6.719564,11.35999
2026-01-13 15:53:53.789,41,3,0,0,1,-5,6,5,6,8,2.5,-8,2.5,0.8,0.9,1,782.2173,7,349.3577,5349.857,1616.343,1566.864,Horizontal,-5.54026,11.40002,-1.54026,11.40002
2026-01-13 15:54:00.172,42,3,0,1,0,-5,6,5,6,8,3.0,-8,3.0,1.0,0.9,1,1049.743,2,1283.095,6250.313,1616.71,1200.378,Horizontal,4.14772,11.40002,0.14771999999999963,11.40002
2026-01-13 15:54:07.455,43,3,0,1,1,-5,6,5,6,8,2.5,-8,2.5,0.8,0.8,1,683.2432,7,316.7627,5417.044,1633.528,1550.201,Horizontal,2.888003,11.40002,-1.1119970000000001,11.40002
2026-01-13 15:54:13.922,44,3,0,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,0.8,1,1082.952,7,1616.668,6950.418,1633.489,1566.895,Horizontal,5.54026,11.40002,1.54026,11.40002
2026-01-13 15:54:21.922,45,3,0,0,0,-5,6,5,6,8,3.0,-8,3.0,0.8,0.8,0,1181.699,7,615.7009,5766.576,1633.229,1216.949,Horizontal,-2.312002,11.40002,1.6879979999999999,11.40002
2026-01-13 15:54:28.722,46,3,0,0,0,-5,6,5,6,8,3.0,-8,3.0,1.0,1.0,0,899.1997,7,682.5923,5433.311,1616.886,1183.38,Horizontal,-2.280002,11.34002,1.719998,11.34002
2026-01-13 15:54:35.205,47,3,0,1,0,-5,6,5,6,8,2.5,-8,2.5,0.9,0.9,0,865.0396,7,333.0076,5550.07,1633.119,1550.018,Horizontal,2.856003,11.35002,-1.1439970000000002,11.35002
2026-01-13 15:54:41.789,48,3,0,0,0,-5,6,5,6,8,5.0,-8,5.0,0.8,1.0,1,999.9063,7,650.479,4850.76,1616.76,483.5205,Horizontal,-2.709209,11.40001,-6.7092089999999995,11.40001
2026-01-13 15:54:47.689,49,3,0,1,1,-5,6,5,6,8,3.5,-8,3.5,0.9,1.0,1,866.1523,7,482.3818,5066.757,1616.827,916.7786,Horizontal,0.4495995,11.31999,-3.5504005,11.31999
2026-01-13 15:54:53.805,50,3,0,0,1,-5,6,5,6,8,2.5,-8,2.5,1.0,1.0,1,1101.209,7,281.8345,5715.991,1616.817,1533.722,Horizontal,-2.824003,11.30002,1.1759970000000002,11.30002
2026-01-13 15:55:00.555,51,3,0,0,1,-5,6,5,6,8,5.0,-8,5.0,1.0,1.0,0,1633.429,7,316.2419,5233.367,1616.736,466.6748,Horizontal,-1.128003,11.30001,-5.128003,11.30001
2026-01-13 15:55:06.821,52,3,0,0,0,-5,6,5,6,8,4.0,-8,4.0,0.8,0.8,1,932.6606,7,683.8789,5050.754,1600.136,766.6931,Horizontal,-1.608002,11.43999,-5.608002,11.43999
2026-01-13 15:55:12.921,53,3,0,1,0,-5,6,5,6,8,4.0,-8,4.0,1.0,0.8,0,665.9126,7,283.1011,4417.132,1599.85,766.7542,Horizontal,4.024763,11.43999,0.02476300000000009,11.43999
2026-01-13 15:55:18.371,54,3,0,1,0,-5,6,5,6,8,5.0,-8,5.0,0.8,0.9,0,899.5081,7,299.8269,4483.702,1633.537,483.49,Horizontal,0.3206805,11.40001,4.3206805,11.40001
2026-01-13 15:55:23.905,55,3,0,0,1,-5,6,5,6,8,5.0,-8,5.0,0.9,0.9,1,866.373,7,1049.083,5200.208,1616.644,483.8867,Horizontal,-1.160003,11.40001,2.8399970000000003,11.40001
2026-01-13 15:55:30.157,56,3,0,1,1,-5,6,5,6,8,2.5,-8,2.5,0.9,1.0,1,632.9241,7,316.3704,5214.339,1633.448,1533.447,Horizontal,0.5067888,11.30002,-3.4932112,11.30002
2026-01-13 15:55:36.404,57,3,0,0,1,-5,6,5,6,8,4.5,-8,4.5,0.8,1.0,1,683.6228,7,633.1001,4583.6,1633.447,600.7385,Horizontal,-3.273018,11.40001,0.726982,11.40001
2026-01-13 15:55:42.021,58,3,0,1,0,-5,6,5,6,8,3.0,-8,3.0,0.8,1.0,0,583.2373,7,331.946,4783.259,1616.608,1183.746,Horizontal,-1.438091,11.34002,-5.438091,11.34002
